locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBBINGLK_01329	CDS	858				ISL3 family transposase ISEc38
MBBINGLK_01330	CDS	1035	php_1		COG1735	Phosphotriesterase homology protein
MBBINGLK_01331	CDS	966				hypothetical protein
MBBINGLK_01332	CDS	759				hypothetical protein
MBBINGLK_01333	CDS	1215	RBKS	2.7.1.15		Ribokinase
MBBINGLK_01334	CDS	1134				IS110 family transposase ISEc45
MBBINGLK_01335	CDS	198				hypothetical protein
MBBINGLK_01336	CDS	774				hypothetical protein
MBBINGLK_01337	CDS	525	glmU_1	2.7.7.23		Bifunctional protein GlmU
MBBINGLK_01338	CDS	1197	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
MBBINGLK_01339	CDS	654				hypothetical protein
MBBINGLK_01340	CDS	1224				hypothetical protein
MBBINGLK_01341	CDS	645	ybdM_1		COG1475	putative protein YbdM
MBBINGLK_01342	CDS	129				hypothetical protein
MBBINGLK_01343	CDS	2148	cirA_2		COG4771	Colicin I receptor
MBBINGLK_01344	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
MBBINGLK_01345	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
MBBINGLK_01346	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
MBBINGLK_01347	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
MBBINGLK_01348	CDS	399				hypothetical protein
MBBINGLK_01349	CDS	480				IS3 family transposase IS1351
MBBINGLK_01350	CDS	267				IS3 family transposase IS1400
MBBINGLK_01351	CDS	735	sfp	2.7.8.7	COG2091	4'-phosphopantetheinyl transferase Sfp
MBBINGLK_01352	CDS	213	rcsA_1			Transcriptional regulatory protein RcsA
MBBINGLK_01353	CDS	9621	dltA_1	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
MBBINGLK_01354	CDS	2601				hypothetical protein
MBBINGLK_01355	CDS	867	hbd	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
MBBINGLK_01356	CDS	249	dltC			D-alanyl carrier protein
MBBINGLK_01357	CDS	1131		1.3.99.-	COG1960	putative acyl-CoA dehydrogenase fadE25
MBBINGLK_01358	CDS	1269	fenF	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
MBBINGLK_01359	CDS	4797	grsB			Gramicidin S synthase 2
MBBINGLK_01360	CDS	3033	ppsE	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsE
MBBINGLK_01361	CDS	6501	tycC			Tyrocidine synthase 3
MBBINGLK_01362	CDS	6465	dltA_2	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
MBBINGLK_01363	CDS	1464	aam	3.5.1.13	COG0154	Acylamidase
MBBINGLK_01364	CDS	1440	mepA_2			Multidrug export protein MepA
MBBINGLK_01365	CDS	4368	srfAA		COG0318	Surfactin synthase subunit 1
MBBINGLK_01366	CDS	2460				hypothetical protein
MBBINGLK_01367	CDS	1506	flp			Protein flp
MBBINGLK_01368	CDS	723	pikAV_1	3.1.2.-		Thioesterase PikA5
MBBINGLK_01369	CDS	513				hypothetical protein
MBBINGLK_01370	CDS	249				hypothetical protein
MBBINGLK_01371	CDS	1272	intA_2		COG0582	Prophage integrase IntA
MBBINGLK_01372	tRNA	76				tRNA-Asn(gtt)
MBBINGLK_01373	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
MBBINGLK_01374	tRNA	76				tRNA-Asn(gtt)
MBBINGLK_01375	CDS	951	cbl			HTH-type transcriptional regulator cbl
MBBINGLK_01376	CDS	918	gltC			HTH-type transcriptional regulator GltC
MBBINGLK_01377	tRNA	76				tRNA-Asn(gtt)
MBBINGLK_01378	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
MBBINGLK_01379	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
MBBINGLK_01380	CDS	1317	abaF_1			Fosfomycin resistance protein AbaF
MBBINGLK_01381	CDS	1053				hypothetical protein
MBBINGLK_01382	CDS	477				hypothetical protein
MBBINGLK_01383	CDS	1470				hypothetical protein
MBBINGLK_01384	CDS	750				hypothetical protein
MBBINGLK_01385	CDS	2022	fyuA		COG1629	Pesticin receptor
MBBINGLK_01386	CDS	1578	dhbE_1	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
MBBINGLK_01387	CDS	804	pikAV_2	3.1.2.-		Thioesterase PikA5
MBBINGLK_01388	CDS	1101				hypothetical protein
MBBINGLK_01389	CDS	9492	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MBBINGLK_01390	CDS	6108	dltA_3	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
MBBINGLK_01391	CDS	960				hypothetical protein
MBBINGLK_01392	CDS	1803	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MBBINGLK_01393	CDS	1803		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
MBBINGLK_01394	CDS	1281	ampG_1		COG0477	Anhydromuropeptide permease
MBBINGLK_01395	CDS	1305	mbtI	5.4.99.5	COG0147	Salicylate synthase
MBBINGLK_01396	CDS	1044	intA_3		COG0582	Prophage integrase IntA
MBBINGLK_01397	tRNA	76				tRNA-Asn(gtt)
MBBINGLK_01398	CDS	798	mtfA		COG3228	Protein MtfA
MBBINGLK_01399	tRNA	90				tRNA-Ser(cga)
MBBINGLK_01400	CDS	837				hypothetical protein
MBBINGLK_01401	CDS	219				hypothetical protein
MBBINGLK_01402	CDS	291				hypothetical protein
MBBINGLK_01403	CDS	297				hypothetical protein
MBBINGLK_01404	CDS	243				hypothetical protein
MBBINGLK_01405	CDS	351				hypothetical protein
MBBINGLK_01406	CDS	405	hns_1			DNA-binding protein H-NS
MBBINGLK_01407	CDS	480				hypothetical protein
MBBINGLK_01408	CDS	732				hypothetical protein
MBBINGLK_01409	CDS	582				hypothetical protein
MBBINGLK_01410	CDS	963				hypothetical protein
MBBINGLK_01411	CDS	1173				hypothetical protein
MBBINGLK_01412	CDS	186				hypothetical protein
MBBINGLK_01413	CDS	171				hypothetical protein
MBBINGLK_01414	CDS	474				hypothetical protein
MBBINGLK_01415	CDS	531				hypothetical protein
MBBINGLK_01416	CDS	276				hypothetical protein
MBBINGLK_01417	CDS	837				hypothetical protein
MBBINGLK_01418	CDS	510				hypothetical protein
MBBINGLK_01419	CDS	924				hypothetical protein
MBBINGLK_01420	CDS	1503				hypothetical protein
MBBINGLK_01421	CDS	306				hypothetical protein
MBBINGLK_01422	CDS	558				hypothetical protein
MBBINGLK_01423	CDS	1464				hypothetical protein
MBBINGLK_01424	CDS	1821				hypothetical protein
MBBINGLK_01425	CDS	1221	intA_4		COG0582	Prophage integrase IntA
MBBINGLK_01426	CDS	651	zinT		COG3443	Metal-binding protein ZinT
MBBINGLK_01427	CDS	636	msrQ_1		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
MBBINGLK_01428	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
MBBINGLK_01429	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
MBBINGLK_01430	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
MBBINGLK_01431	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
MBBINGLK_01432	CDS	852	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
MBBINGLK_01433	CDS	1059	yedS		COG3203	Outer membrane protein YedS
MBBINGLK_01434	CDS	111				hypothetical protein
MBBINGLK_01435	CDS	651	yedJ		COG1418	putative protein YedJ
MBBINGLK_01436	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
MBBINGLK_01437	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
MBBINGLK_01438	CDS	915	yedA			putative inner membrane transporter YedA
MBBINGLK_01439	CDS	918	yedI		COG2354	Inner membrane protein YedI
MBBINGLK_01440	CDS	183				hypothetical protein
MBBINGLK_01441	CDS	1695	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
MBBINGLK_01442	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
MBBINGLK_01443	CDS	228				hypothetical protein
MBBINGLK_01444	CDS	189	dsrB			Protein DsrB
MBBINGLK_01445	CDS	624	rcsA_2		COG2771	Transcriptional regulatory protein RcsA
MBBINGLK_01446	CDS	786	fliR		COG1684	Flagellar biosynthetic protein FliR
MBBINGLK_01447	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
MBBINGLK_01448	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
MBBINGLK_01449	CDS	366	fliO		COG3190	Flagellar protein FliO
MBBINGLK_01450	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
MBBINGLK_01451	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
MBBINGLK_01452	CDS	465				hypothetical protein
MBBINGLK_01453	CDS	1128	fliK		COG3144	Flagellar hook-length control protein
MBBINGLK_01454	CDS	444	fliJ		COG2882	Flagellar FliJ protein
MBBINGLK_01455	CDS	1374	fliI_1	7.1.2.2	COG1157	Flagellum-specific ATP synthase
MBBINGLK_01456	CDS	687	fliH		COG1317	Flagellar assembly protein FliH
MBBINGLK_01457	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
MBBINGLK_01458	CDS	1659	fliF		COG1766	Flagellar M-ring protein
MBBINGLK_01459	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
MBBINGLK_01460	CDS	333	emrE		COG2076	Multidrug transporter EmrE
MBBINGLK_01461	CDS	552				hypothetical protein
MBBINGLK_01462	CDS	798	rhaS_2			HTH-type transcriptional activator RhaS
MBBINGLK_01463	CDS	1083	ompD_1		COG3203	Outer membrane porin protein OmpD
MBBINGLK_01464	CDS	669	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
MBBINGLK_01465	CDS	234	yedF_1		COG0425	Putative sulfur carrier protein YedF
MBBINGLK_01466	CDS	1206				hypothetical protein
MBBINGLK_01467	CDS	414				hypothetical protein
MBBINGLK_01468	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
MBBINGLK_01469	CDS	366	fliT			Flagellar protein FliT
MBBINGLK_01470	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
MBBINGLK_01471	CDS	1407	fliD		COG1345	Flagellar hook-associated protein 2
MBBINGLK_01472	CDS	1758				hypothetical protein
MBBINGLK_01473	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
MBBINGLK_01474	CDS	552	fliZ			Regulator of sigma S factor FliZ
MBBINGLK_01475	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
MBBINGLK_01476	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
MBBINGLK_01477	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
MBBINGLK_01478	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
MBBINGLK_01479	CDS	723	sdiA_1		COG2771	Regulatory protein SdiA
MBBINGLK_01480	CDS	225				hypothetical protein
MBBINGLK_01481	CDS	657	uvrY		COG2197	Response regulator UvrY
MBBINGLK_01482	CDS	1833	uvrC		COG0322	UvrABC system protein C
MBBINGLK_01483	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MBBINGLK_01484	tRNA	76				tRNA-Gly(gcc)
MBBINGLK_01485	tRNA	74				tRNA-Cys(gca)
MBBINGLK_01486	tRNA	87				tRNA-Leu(taa)
MBBINGLK_01487	CDS	666				hypothetical protein
MBBINGLK_01488	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
MBBINGLK_01489	CDS	240				hypothetical protein
MBBINGLK_01490	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
MBBINGLK_01491	CDS	324				hypothetical protein
MBBINGLK_01492	CDS	252				hypothetical protein
MBBINGLK_01493	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
MBBINGLK_01494	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
MBBINGLK_01495	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
MBBINGLK_01496	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
MBBINGLK_01497	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
MBBINGLK_01498	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
MBBINGLK_01499	CDS	429	uspC		COG0589	Universal stress protein C
MBBINGLK_01500	CDS	351	flhD			Flagellar transcriptional regulator FlhD
MBBINGLK_01501	CDS	579	flhC			Flagellar transcriptional regulator FlhC
MBBINGLK_01502	CDS	888	motA		COG1291	Motility protein A
MBBINGLK_01503	CDS	927	motB		COG1360	Motility protein B
MBBINGLK_01504	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
MBBINGLK_01505	CDS	504	cheW		COG0835	Chemotaxis protein CheW
MBBINGLK_01506	CDS	1662	tar_1		COG0840	Methyl-accepting chemotaxis protein II
MBBINGLK_01507	CDS	120	tap		COG0840	Methyl-accepting chemotaxis protein IV
MBBINGLK_01508	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
MBBINGLK_01509	CDS	1050	cheB_1	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
MBBINGLK_01510	CDS	390	cheY		COG0784	Chemotaxis protein CheY
MBBINGLK_01511	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
MBBINGLK_01512	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
MBBINGLK_01513	CDS	2079	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
MBBINGLK_01514	CDS	393	flhE			Flagellar protein FlhE
MBBINGLK_01515	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MBBINGLK_01516	CDS	567	yecM		COG3102	Protein YecM
MBBINGLK_01517	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
MBBINGLK_01518	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
MBBINGLK_01519	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
MBBINGLK_01520	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
MBBINGLK_01521	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
MBBINGLK_01522	CDS	396	yecN		COG3788	Inner membrane protein YecN
MBBINGLK_01523	CDS	819				hypothetical protein
MBBINGLK_01524	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
MBBINGLK_01525	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
MBBINGLK_01526	CDS	444	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
MBBINGLK_01527	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
MBBINGLK_01528	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
MBBINGLK_01529	CDS	603				hypothetical protein
MBBINGLK_01530	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
MBBINGLK_01531	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
MBBINGLK_01532	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
MBBINGLK_01533	CDS	756	znuC_1	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
MBBINGLK_01534	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
MBBINGLK_01535	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
MBBINGLK_01536	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
MBBINGLK_01537	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
MBBINGLK_01538	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
MBBINGLK_01539	CDS	150				hypothetical protein
MBBINGLK_01540	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
MBBINGLK_01541	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
MBBINGLK_01542	CDS	642	eda		COG0800	KHG/KDPG aldolase
MBBINGLK_01543	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
MBBINGLK_01544	CDS	291				hypothetical protein
MBBINGLK_01545	CDS	357	yebF			Protein YebF
MBBINGLK_01546	CDS	111				hypothetical protein
MBBINGLK_01547	CDS	660	yebE		COG2979	Inner membrane protein YebE
MBBINGLK_01548	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
MBBINGLK_01549	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
MBBINGLK_01550	CDS	657				hypothetical protein
MBBINGLK_01551	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
MBBINGLK_01552	CDS	375	yobA		COG2372	Protein YobA
MBBINGLK_01553	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
MBBINGLK_01554	CDS	342				hypothetical protein
MBBINGLK_01555	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
MBBINGLK_01556	CDS	276				hypothetical protein
MBBINGLK_01557	CDS	237	yebV			putative protein YebV
MBBINGLK_01558	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
MBBINGLK_01559	CDS	2634	yebT_1		COG3008	Intermembrane transport protein YebT
MBBINGLK_01560	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
MBBINGLK_01561	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
MBBINGLK_01562	CDS	699	proQ		COG3109	RNA chaperone ProQ
MBBINGLK_01563	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
MBBINGLK_01564	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
MBBINGLK_01565	CDS	1374	ribZ			Riboflavin transporter RibZ
MBBINGLK_01566	CDS	792	kdgR_1		COG1414	Transcriptional regulator KdgR
MBBINGLK_01567	CDS	240				hypothetical protein
MBBINGLK_01568	CDS	288				hypothetical protein
MBBINGLK_01569	CDS	210	cspC			Cold shock-like protein CspC
MBBINGLK_01570	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
MBBINGLK_01571	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
MBBINGLK_01572	CDS	459				hypothetical protein
MBBINGLK_01573	CDS	852	manZ_3		COG3716	PTS system mannose-specific EIID component
MBBINGLK_01574	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
MBBINGLK_01575	CDS	972	manX_2	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
MBBINGLK_01576	CDS	1557				hypothetical protein
MBBINGLK_01577	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
MBBINGLK_01578	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
MBBINGLK_01579	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
MBBINGLK_01580	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
MBBINGLK_01581	CDS	180				hypothetical protein
MBBINGLK_01582	CDS	300				hypothetical protein
MBBINGLK_01583	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MBBINGLK_01584	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
MBBINGLK_01585	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
MBBINGLK_01586	CDS	582	slp_1		COG3065	Outer membrane protein Slp
MBBINGLK_01587	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
MBBINGLK_01588	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
MBBINGLK_01589	CDS	639	leuE		COG1280	Leucine efflux protein
MBBINGLK_01590	CDS	360	yeaR		COG3615	putative protein YeaR
MBBINGLK_01591	CDS	183	yoaG			Protein YoaG
MBBINGLK_01592	CDS	249				hypothetical protein
MBBINGLK_01593	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
MBBINGLK_01594	CDS	255				hypothetical protein
MBBINGLK_01595	CDS	348				hypothetical protein
MBBINGLK_01596	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
MBBINGLK_01597	CDS	819	nimR_1			HTH-type transcriptional regulator NimR
MBBINGLK_01598	CDS	447				hypothetical protein
MBBINGLK_01599	CDS	504				hypothetical protein
MBBINGLK_01600	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
MBBINGLK_01601	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
MBBINGLK_01602	CDS	1284				hypothetical protein
MBBINGLK_01603	CDS	1935				hypothetical protein
MBBINGLK_01604	CDS	747	mipA		COG3713	MltA-interacting protein
MBBINGLK_01605	CDS	855	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
MBBINGLK_01606	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
MBBINGLK_01607	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
MBBINGLK_01608	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
MBBINGLK_01609	CDS	273				hypothetical protein
MBBINGLK_01610	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
MBBINGLK_01611	CDS	1380	ydjE_1			Inner membrane metabolite transport protein YdjE
MBBINGLK_01612	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
MBBINGLK_01613	CDS	837	ydjI		COG0191	putative protein YdjI
MBBINGLK_01614	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
MBBINGLK_01615	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
MBBINGLK_01616	CDS	759	ydjF_2		COG1349	putative HTH-type transcriptional regulator YdjF
MBBINGLK_01617	CDS	1359	ydjE_2			Inner membrane metabolite transport protein YdjE
MBBINGLK_01618	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
MBBINGLK_01619	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
MBBINGLK_01620	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
MBBINGLK_01621	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
MBBINGLK_01622	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
MBBINGLK_01623	CDS	1956	topB	5.6.2.1	COG0550	DNA topoisomerase 3
MBBINGLK_01624	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
MBBINGLK_01625	CDS	273				hypothetical protein
MBBINGLK_01626	CDS	408	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
MBBINGLK_01627	CDS	621	ynjF		COG0558	Inner membrane protein YnjF
MBBINGLK_01628	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
MBBINGLK_01629	CDS	654	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
MBBINGLK_01630	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
MBBINGLK_01631	CDS	1167	ynjB		COG4134	Protein YnjB
MBBINGLK_01632	CDS	549				hypothetical protein
MBBINGLK_01633	CDS	705	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
MBBINGLK_01634	CDS	678				hypothetical protein
MBBINGLK_01635	CDS	711	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
MBBINGLK_01636	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
MBBINGLK_01637	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
MBBINGLK_01638	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
MBBINGLK_01639	CDS	1479	astD_1	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
MBBINGLK_01640	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
MBBINGLK_01641	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
MBBINGLK_01642	CDS	486	spy		COG3678	Periplasmic chaperone Spy
MBBINGLK_01643	CDS	576	ves		COG3758	Protein Ves
MBBINGLK_01644	CDS	888	cho	3.1.25.-	COG0322	Excinuclease cho
MBBINGLK_01645	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
MBBINGLK_01646	CDS	339	osmE			Osmotically-inducible putative lipoprotein OsmE
MBBINGLK_01647	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
MBBINGLK_01648	CDS	1359	chbC_1		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
MBBINGLK_01649	CDS	351	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
MBBINGLK_01650	CDS	840	chbR			HTH-type transcriptional regulator ChbR
MBBINGLK_01651	CDS	1353	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
MBBINGLK_01652	CDS	759	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
MBBINGLK_01653	CDS	2262	katE_1	1.11.1.6	COG0753	Catalase HPII
MBBINGLK_01654	CDS	264	cedA			Cell division activator CedA
MBBINGLK_01655	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
MBBINGLK_01656	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
MBBINGLK_01657	CDS	669	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
MBBINGLK_01658	CDS	537				hypothetical protein
MBBINGLK_01659	CDS	861		2.7.1.-		putative ketoamine kinase
MBBINGLK_01660	CDS	291				hypothetical protein
MBBINGLK_01661	CDS	930	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
MBBINGLK_01662	CDS	759				hypothetical protein
MBBINGLK_01663	CDS	108	yniD			putative protein YniD
MBBINGLK_01664	CDS	435				hypothetical protein
MBBINGLK_01665	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
MBBINGLK_01666	CDS	435	infC		COG0290	Translation initiation factor IF-3
MBBINGLK_01667	CDS	198	rpmI		COG0291	50S ribosomal protein L35
MBBINGLK_01668	CDS	357	rplT		COG0292	50S ribosomal protein L20
MBBINGLK_01669	CDS	984	pheS_1	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
MBBINGLK_01670	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
MBBINGLK_01671	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
MBBINGLK_01672	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
MBBINGLK_01673	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
